document_identifier,document_title,document_title_en,document_type,document_parliamentary_term,document_date,document_public_register_notation,document_creator_person,document_creator_organization,document_language,document_pdf,document_doc,document_answers_pdf,document_answers_doc,document_annexes_pdf,document_annexes_doc,document_ep_number,document_URI
E-9-2024-000119,The security crisis and violence which has broken out in Ecuador,The security crisis and violence which has broken out in Ecuador,Written question,9,2024-01-16,,Idoia VILLANUEVA RUIZ,,English,https://data.europarl.europa.eu/distribution/reds_iMaQp/E-9-2024-000119/E-9-2024-000119_en.pdf,https://data.europarl.europa.eu/distribution/reds_iMaQp/E-9-2024-000119/E-9-2024-000119_en.docx,https://data.europarl.europa.eu/distribution/reds_iMaQp_Asw/E-9-2024-000119-ASW/E-9-2024-000119-ASW_en.pdf,https://data.europarl.europa.eu/distribution/reds_iMaQp_Asw/E-9-2024-000119-ASW/E-9-2024-000119-ASW_en.docx,,,PE758.521,https://data.europarl.europa.eu/eli/dl/doc/E-9-2024-000119
E-9-2024-000131,Protection of international trade in view of Houthi attacks in the Red Sea,Protection of international trade in view of Houthi attacks in the Red Sea,Written question,9,2024-01-17,,Paolo BORCHIA,,English,https://data.europarl.europa.eu/distribution/reds_iMaQp/E-9-2024-000131/E-9-2024-000131_en.pdf,https://data.europarl.europa.eu/distribution/reds_iMaQp/E-9-2024-000131/E-9-2024-000131_en.docx,https://data.europarl.europa.eu/distribution/reds_iMaQp_Asw/E-9-2024-000131-ASW/E-9-2024-000131-ASW-FF_en.pdf,https://data.europarl.europa.eu/distribution/reds_iMaQp_Asw/E-9-2024-000131-ASW/E-9-2024-000131-ASW_en.docx,,,PE758.533,https://data.europarl.europa.eu/eli/dl/doc/E-9-2024-000131
E-9-2024-000017,Cooperation agreement with Argentina,Cooperation agreement with Argentina,Written question,9,2024-01-05,,Ana MIRANDA,,English,https://data.europarl.europa.eu/distribution/reds_iMaQp/E-9-2024-000017/E-9-2024-000017_en.pdf,https://data.europarl.europa.eu/distribution/reds_iMaQp/E-9-2024-000017/E-9-2024-000017_en.docx,https://data.europarl.europa.eu/distribution/reds_iMaQp_Asw/E-9-2024-000017-ASW/E-9-2024-000017-ASW_en.pdf,https://data.europarl.europa.eu/distribution/reds_iMaQp_Asw/E-9-2024-000017-ASW/E-9-2024-000017-ASW_en.docx,,,PE758.395,https://data.europarl.europa.eu/eli/dl/doc/E-9-2024-000017
E-9-2024-000103,Challenge of the rise in fertiliser prices,Challenge of the rise in fertiliser prices,Written question,9,2024-01-12,,Daniel BUDA,,English,https://data.europarl.europa.eu/distribution/reds_iMaQp/E-9-2024-000103/E-9-2024-000103_en.pdf,https://data.europarl.europa.eu/distribution/reds_iMaQp/E-9-2024-000103/E-9-2024-000103_en.docx,https://data.europarl.europa.eu/distribution/reds_iMaQp_Asw/E-9-2024-000103-ASW/E-9-2024-000103-ASW-FF_en.pdf,https://data.europarl.europa.eu/distribution/reds_iMaQp_Asw/E-9-2024-000103-ASW/E-9-2024-000103-ASW_en.docx,,,PE758.505,https://data.europarl.europa.eu/eli/dl/doc/E-9-2024-000103
E-9-2024-000108,"Attacks on Christian villages in Plateau State, Nigeria","Attacks on Christian villages in Plateau State, Nigeria",Written question,9,2024-01-12,,Bert-Jan RUISSEN,,English,https://data.europarl.europa.eu/distribution/reds_iMaQp/E-9-2024-000108/E-9-2024-000108_en.pdf,https://data.europarl.europa.eu/distribution/reds_iMaQp/E-9-2024-000108/E-9-2024-000108_en.docx,https://data.europarl.europa.eu/distribution/reds_iMaQp_Asw/E-9-2024-000108-ASW/E-9-2024-000108-ASW-FF_en.pdf,https://data.europarl.europa.eu/distribution/reds_iMaQp_Asw/E-9-2024-000108-ASW/E-9-2024-000108-ASW_en.docx,,,PE758.510,https://data.europarl.europa.eu/eli/dl/doc/E-9-2024-000108
E-9-2024-000062,Infringement of the right of residence of European citizens under the Agreement on the withdrawal of the United Kingdom of Great Britain and Northern Ireland from the European Union,Infringement of the right of residence of European citizens under the Agreement on the withdrawal of the United Kingdom of Great Britain and Northern Ireland from the European Union,Written question,9,2024-01-10,,Jordi CAÑAS,,English,https://data.europarl.europa.eu/distribution/reds_iMaQp/E-9-2024-000062/E-9-2024-000062_en.pdf,https://data.europarl.europa.eu/distribution/reds_iMaQp/E-9-2024-000062/E-9-2024-000062_en.docx,https://data.europarl.europa.eu/distribution/reds_iMaQp_Asw/E-9-2024-000062-ASW/E-9-2024-000062-ASW-FF_en.pdf,https://data.europarl.europa.eu/distribution/reds_iMaQp_Asw/E-9-2024-000062-ASW/E-9-2024-000062-ASW_en.docx,,,PE758.462,https://data.europarl.europa.eu/eli/dl/doc/E-9-2024-000062
E-9-2024-000101,Energy poverty,Energy poverty,Written question,9,2024-01-12,,Roman HAIDER,,English,https://data.europarl.europa.eu/distribution/reds_iMaQp/E-9-2024-000101/E-9-2024-000101_en.pdf,https://data.europarl.europa.eu/distribution/reds_iMaQp/E-9-2024-000101/E-9-2024-000101_en.docx,https://data.europarl.europa.eu/distribution/reds_iMaQp_Asw/E-9-2024-000101-ASW/E-9-2024-000101-ASW_en.pdf,https://data.europarl.europa.eu/distribution/reds_iMaQp_Asw/E-9-2024-000101-ASW/E-9-2024-000101-ASW_en.docx,,,PE758.503,https://data.europarl.europa.eu/eli/dl/doc/E-9-2024-000101
E-9-2024-000037,Implementation of the strategy for the rights of persons with disabilities 2021-2030,Implementation of the strategy for the rights of persons with disabilities 2021-2030,Written question,9,2024-01-09,,Elena LIZZI,,English,https://data.europarl.europa.eu/distribution/reds_iMaQp/E-9-2024-000037/E-9-2024-000037_en.pdf,https://data.europarl.europa.eu/distribution/reds_iMaQp/E-9-2024-000037/E-9-2024-000037_en.docx,https://data.europarl.europa.eu/distribution/reds_iMaQp_Asw/E-9-2024-000037-ASW/E-9-2024-000037-ASW-FF_en.pdf,https://data.europarl.europa.eu/distribution/reds_iMaQp_Asw/E-9-2024-000037-ASW/E-9-2024-000037-ASW_en.docx,,,PE758.415,https://data.europarl.europa.eu/eli/dl/doc/E-9-2024-000037
E-9-2024-000106,Family-run farms,Family-run farms,Written question,9,2024-01-12,,Daniel BUDA,,English,https://data.europarl.europa.eu/distribution/reds_iMaQp/E-9-2024-000106/E-9-2024-000106_en.pdf,https://data.europarl.europa.eu/distribution/reds_iMaQp/E-9-2024-000106/E-9-2024-000106_en.docx,https://data.europarl.europa.eu/distribution/reds_iMaQp_Asw/E-9-2024-000106-ASW/E-9-2024-000106-ASW_en.pdf,https://data.europarl.europa.eu/distribution/reds_iMaQp_Asw/E-9-2024-000106-ASW/E-9-2024-000106-ASW_en.docx,,,PE758.508,https://data.europarl.europa.eu/eli/dl/doc/E-9-2024-000106
E-9-2024-000070,Per- and polyfluoroalkyl substances (PFASs) in wild boar meat from Upper Austria,Per- and polyfluoroalkyl substances (PFASs) in wild boar meat from Upper Austria,Written question,9,2024-01-10,,Roman HAIDER,,English,https://data.europarl.europa.eu/distribution/reds_iMaQp/E-9-2024-000070/E-9-2024-000070_en.pdf,https://data.europarl.europa.eu/distribution/reds_iMaQp/E-9-2024-000070/E-9-2024-000070_en.docx,https://data.europarl.europa.eu/distribution/reds_iMaQp_Asw/E-9-2024-000070-ASW/E-9-2024-000070-ASW_en.pdf,https://data.europarl.europa.eu/distribution/reds_iMaQp_Asw/E-9-2024-000070-ASW/E-9-2024-000070-ASW_en.docx,,,PE758.470,https://data.europarl.europa.eu/eli/dl/doc/E-9-2024-000070
