document_identifier,document_title,document_title_en,document_type,document_parliamentary_term,document_date,document_public_register_notation,document_creator_person,document_creator_organization,document_language,document_pdf,document_doc,document_answers_pdf,document_answers_doc,document_annexes_pdf,document_annexes_doc,document_ep_number,document_URI
E-8-2019-000038,Harmonising the vehicle testing system - Directive 2014/45/EU,Harmonising the vehicle testing system - Directive 2014/45/EU,Written question,8,2019-01-08,,Dariusz ROSATI,,English,https://data.europarl.europa.eu/distribution/reds_iMaQp/E-8-2019-000038/E-8-2019-000038_en.pdf,https://data.europarl.europa.eu/distribution/reds_iMaQp/E-8-2019-000038/E-8-2019-000038_en.docx,https://data.europarl.europa.eu/distribution/reds_iMaQp_Asw/E-8-2019-000038-ASW/E-8-2019-000038-ASW_en.pdf,https://data.europarl.europa.eu/distribution/reds_iMaQp_Asw/E-8-2019-000038-ASW/E-8-2019-000038-ASW_en.docx,,,PE632.519,https://data.europarl.europa.eu/eli/dl/doc/E-8-2019-000038
E-8-2019-000008,Medicinal product shortages: parallel imports,Medicinal product shortages: parallel imports,Written question,8,2019-01-04,,John Stuart AGNEW,,English,https://data.europarl.europa.eu/distribution/reds_iMaQp/E-8-2019-000008/E-8-2019-000008_en.pdf,https://data.europarl.europa.eu/distribution/reds_iMaQp/E-8-2019-000008/E-8-2019-000008_en.docx,https://data.europarl.europa.eu/distribution/reds_iMaQp_Asw/E-8-2019-000008-ASW/E-8-2019-000008-ASW_en.pdf,https://data.europarl.europa.eu/distribution/reds_iMaQp_Asw/E-8-2019-000008-ASW/E-8-2019-000008-ASW_en.docx,,,PE632.489,https://data.europarl.europa.eu/eli/dl/doc/E-8-2019-000008
E-8-2019-000099,Status of trade agreements in the case of Brexit,Status of trade agreements in the case of Brexit,Written question,8,2019-01-10,,Jörg MEUTHEN,,English,https://data.europarl.europa.eu/distribution/reds_iMaQp/E-8-2019-000099/E-8-2019-000099_en.pdf,https://data.europarl.europa.eu/distribution/reds_iMaQp/E-8-2019-000099/E-8-2019-000099_en.docx,https://data.europarl.europa.eu/distribution/reds_iMaQp_Asw/E-8-2019-000099-ASW/E-8-2019-000099-ASW_en.pdf,https://data.europarl.europa.eu/distribution/reds_iMaQp_Asw/E-8-2019-000099-ASW/E-8-2019-000099-ASW_en.docx,,,PE632.581,https://data.europarl.europa.eu/eli/dl/doc/E-8-2019-000099
E-8-2019-000106,Commission's efforts to deploy blockchain technologies in the EU,Commission's efforts to deploy blockchain technologies in the EU,Written question,8,2019-01-10,,Antanas GUOGA,,English,https://data.europarl.europa.eu/distribution/reds_iMaQp/E-8-2019-000106/E-8-2019-000106_en.pdf,https://data.europarl.europa.eu/distribution/reds_iMaQp/E-8-2019-000106/E-8-2019-000106_en.docx,https://data.europarl.europa.eu/distribution/reds_iMaQp_Asw/E-8-2019-000106-ASW/E-8-2019-000106-ASW_en.pdf,https://data.europarl.europa.eu/distribution/reds_iMaQp_Asw/E-8-2019-000106-ASW/E-8-2019-000106-ASW_en.docx,,,PE632.588,https://data.europarl.europa.eu/eli/dl/doc/E-8-2019-000106
E-8-2019-000110,Authorisation to place on the market the medicinal product Lynparza (Olaparib) for the first-line treatment of patients with ovarian cancer,Authorisation to place on the market the medicinal product Lynparza (Olaparib) for the first-line treatment of patients with ovarian cancer,Written question,8,2019-01-10,,Piernicola PEDICINI; Marco ZULLO,,English,https://data.europarl.europa.eu/distribution/reds_iMaQp/E-8-2019-000110/E-8-2019-000110_en.pdf,https://data.europarl.europa.eu/distribution/reds_iMaQp/E-8-2019-000110/E-8-2019-000110_en.docx,https://data.europarl.europa.eu/distribution/reds_iMaQp_Asw/E-8-2019-000110-ASW/E-8-2019-000110-ASW_en.pdf,https://data.europarl.europa.eu/distribution/reds_iMaQp_Asw/E-8-2019-000110-ASW/E-8-2019-000110-ASW_en.docx,,,PE632.592,https://data.europarl.europa.eu/eli/dl/doc/E-8-2019-000110
E-8-2019-000069,Failure to post the ranking of projects for their inclusion in the NSRF,Failure to post the ranking of projects for their inclusion in the NSRF,Written question,8,2019-01-09,,Kostas CHRYSOGONOS,,English,https://data.europarl.europa.eu/distribution/reds_iMaQp/E-8-2019-000069/E-8-2019-000069_en.pdf,https://data.europarl.europa.eu/distribution/reds_iMaQp/E-8-2019-000069/E-8-2019-000069_en.docx,https://data.europarl.europa.eu/distribution/reds_iMaQp_Asw/E-8-2019-000069-ASW/E-8-2019-000069-ASW_en.pdf,https://data.europarl.europa.eu/distribution/reds_iMaQp_Asw/E-8-2019-000069-ASW/E-8-2019-000069-ASW_en.docx,,,PE632.550,https://data.europarl.europa.eu/eli/dl/doc/E-8-2019-000069
E-8-2019-000050,Pollution caused by slaughtering foxes in Galicia,Pollution caused by slaughtering foxes in Galicia,Written question,8,2019-01-08,,Ana MIRANDA,,English,https://data.europarl.europa.eu/distribution/reds_iMaQp/E-8-2019-000050/E-8-2019-000050_en.pdf,https://data.europarl.europa.eu/distribution/reds_iMaQp/E-8-2019-000050/E-8-2019-000050_en.docx,https://data.europarl.europa.eu/distribution/reds_iMaQp_Asw/E-8-2019-000050-ASW/E-8-2019-000050-ASW_en.pdf,https://data.europarl.europa.eu/distribution/reds_iMaQp_Asw/E-8-2019-000050-ASW/E-8-2019-000050-ASW_en.docx,,,PE632.531,https://data.europarl.europa.eu/eli/dl/doc/E-8-2019-000050
E-8-2019-000022,VP/HR - Situation in Gabon,VP/HR - Situation in Gabon,Written question,8,2019-01-07,,Jo LEINEN,,English,https://data.europarl.europa.eu/distribution/reds_iMaQp/E-8-2019-000022/E-8-2019-000022_en.pdf,https://data.europarl.europa.eu/distribution/reds_iMaQp/E-8-2019-000022/E-8-2019-000022_en.docx,https://data.europarl.europa.eu/distribution/reds_iMaQp_Asw/E-8-2019-000022-ASW/E-8-2019-000022-ASW_en.pdf,https://data.europarl.europa.eu/distribution/reds_iMaQp_Asw/E-8-2019-000022-ASW/E-8-2019-000022-ASW_en.docx,,,PE632.503,https://data.europarl.europa.eu/eli/dl/doc/E-8-2019-000022
E-8-2019-000042,Disproportionate budget for sub-measure 16.1 of the Sicilian rural development programme,Disproportionate budget for sub-measure 16.1 of the Sicilian rural development programme,Written question,8,2019-01-08,,Fabio Massimo CASTALDO; Ignazio CORRAO,,English,https://data.europarl.europa.eu/distribution/reds_iMaQp/E-8-2019-000042/E-8-2019-000042_en.pdf,https://data.europarl.europa.eu/distribution/reds_iMaQp/E-8-2019-000042/E-8-2019-000042_en.docx,https://data.europarl.europa.eu/distribution/reds_iMaQp_Asw/E-8-2019-000042-ASW/E-8-2019-000042-ASW_en.pdf,https://data.europarl.europa.eu/distribution/reds_iMaQp_Asw/E-8-2019-000042-ASW/E-8-2019-000042-ASW_en.docx,,,PE632.523,https://data.europarl.europa.eu/eli/dl/doc/E-8-2019-000042
E-8-2019-000072,Enforcement of anti-money laundering rules in Latvia: follow-up to written question 005065/18,Enforcement of anti-money laundering rules in Latvia: follow-up to written question 005065/18,Written question,8,2019-01-09,,Alfred SANT,,English,https://data.europarl.europa.eu/distribution/reds_iMaQp/E-8-2019-000072/E-8-2019-000072_en.pdf,https://data.europarl.europa.eu/distribution/reds_iMaQp/E-8-2019-000072/E-8-2019-000072_en.docx,https://data.europarl.europa.eu/distribution/reds_iMaQp_Asw/E-8-2019-000072-ASW/E-8-2019-000072-ASW_en.pdf,https://data.europarl.europa.eu/distribution/reds_iMaQp_Asw/E-8-2019-000072-ASW/E-8-2019-000072-ASW_en.docx,,,PE632.553,https://data.europarl.europa.eu/eli/dl/doc/E-8-2019-000072
