document_identifier,document_title,document_title_en,document_type,document_parliamentary_term,document_date,document_public_register_notation,document_creator_person,document_creator_organization,document_language,document_pdf,document_doc,document_answers_pdf,document_answers_doc,document_annexes_pdf,document_annexes_doc,document_ep_number,document_URI
E-9-2022-000005,Statement by Olivér Várhelyi,Statement by Olivér Várhelyi,Written question,9,2022-01-03,,Angel Dzhambazki,,English,https://data.europarl.europa.eu/distribution/reds_iMaQp/E-9-2022-000005/E-9-2022-000005_en.pdf,https://data.europarl.europa.eu/distribution/reds_iMaQp/E-9-2022-000005/E-9-2022-000005_en.docx,https://data.europarl.europa.eu/distribution/reds_iMaQp_Asw/E-9-2022-000005-ASW/E-9-2022-000005-ASW_en.pdf,https://data.europarl.europa.eu/distribution/reds_iMaQp_Asw/E-9-2022-000005-ASW/E-9-2022-000005-ASW_en.docx,,,PE700.951,https://data.europarl.europa.eu/eli/dl/doc/E-9-2022-000005
E-9-2022-000019,Brussels giving Microsoft the green light,Brussels giving Microsoft the green light,Written question,9,2022-01-04,,Virginie Joron,,English,https://data.europarl.europa.eu/distribution/reds_iMaQp/E-9-2022-000019/E-9-2022-000019_en.pdf,https://data.europarl.europa.eu/distribution/reds_iMaQp/E-9-2022-000019/E-9-2022-000019_en.docx,https://data.europarl.europa.eu/distribution/reds_iMaQp_Asw/E-9-2022-000019-ASW/E-9-2022-000019-ASW_en.pdf,https://data.europarl.europa.eu/distribution/reds_iMaQp_Asw/E-9-2022-000019-ASW/E-9-2022-000019-ASW_en.docx,,,PE703.779,https://data.europarl.europa.eu/eli/dl/doc/E-9-2022-000019
E-9-2022-000053,Energy suppliers,Energy suppliers,Written question,9,2022-01-06,,Guido Reil,,English,https://data.europarl.europa.eu/distribution/reds_iMaQp/E-9-2022-000053/E-9-2022-000053_en.pdf,https://data.europarl.europa.eu/distribution/reds_iMaQp/E-9-2022-000053/E-9-2022-000053_en.docx,https://data.europarl.europa.eu/distribution/reds_iMaQp_Asw/E-9-2022-000053-ASW/E-9-2022-000053-ASW_en.pdf,https://data.europarl.europa.eu/distribution/reds_iMaQp_Asw/E-9-2022-000053-ASW/E-9-2022-000053-ASW_en.docx,,,PE703.813,https://data.europarl.europa.eu/eli/dl/doc/E-9-2022-000053
E-9-2022-000028,Closure of Memorial,Closure of Memorial,Written question,9,2022-01-05,,Isabel Santos,,English,https://data.europarl.europa.eu/distribution/reds_iMaQp/E-9-2022-000028/E-9-2022-000028_en.pdf,https://data.europarl.europa.eu/distribution/reds_iMaQp/E-9-2022-000028/E-9-2022-000028_en.docx,https://data.europarl.europa.eu/distribution/reds_iMaQp_Asw/E-9-2022-000028-ASW/E-9-2022-000028-ASW_en.pdf,https://data.europarl.europa.eu/distribution/reds_iMaQp_Asw/E-9-2022-000028-ASW/E-9-2022-000028-ASW_en.docx,,,PE703.788,https://data.europarl.europa.eu/eli/dl/doc/E-9-2022-000028
E-9-2022-000103,Europe’s tourism sector – EU support to improve project implementation and access to funding,Europe’s tourism sector – EU support to improve project implementation and access to funding,Written question,9,2022-01-10,,Gianantonio Da Re,,English,https://data.europarl.europa.eu/distribution/reds_iMaQp/E-9-2022-000103/E-9-2022-000103_en.pdf,https://data.europarl.europa.eu/distribution/reds_iMaQp/E-9-2022-000103/E-9-2022-000103_en.docx,https://data.europarl.europa.eu/distribution/reds_iMaQp_Asw/E-9-2022-000103-ASW/E-9-2022-000103-ASW_en.pdf,https://data.europarl.europa.eu/distribution/reds_iMaQp_Asw/E-9-2022-000103-ASW/E-9-2022-000103-ASW_en.docx,,,PE703.863,https://data.europarl.europa.eu/eli/dl/doc/E-9-2022-000103
E-9-2022-000001,‘Fit for 55’ package and cross-sectoral correction factor,‘Fit for 55’ package and cross-sectoral correction factor,Written question,9,2022-01-03,,Pilar del Castillo Vera,,English,https://data.europarl.europa.eu/distribution/reds_iMaQp/E-9-2022-000001/E-9-2022-000001_en.pdf,https://data.europarl.europa.eu/distribution/reds_iMaQp/E-9-2022-000001/E-9-2022-000001_en.docx,https://data.europarl.europa.eu/distribution/reds_iMaQp_Asw/E-9-2022-000001-ASW/E-9-2022-000001-ASW_en.pdf,https://data.europarl.europa.eu/distribution/reds_iMaQp_Asw/E-9-2022-000001-ASW/E-9-2022-000001-ASW_en.docx,,,PE703.773,https://data.europarl.europa.eu/eli/dl/doc/E-9-2022-000001
E-9-2022-000082,Airlines operating ‘ghost flights’ to keep airport slots,Airlines operating ‘ghost flights’ to keep airport slots,Written question,9,2022-01-10,,Roman Haider,,English,https://data.europarl.europa.eu/distribution/reds_iMaQp/E-9-2022-000082/E-9-2022-000082_en.pdf,https://data.europarl.europa.eu/distribution/reds_iMaQp/E-9-2022-000082/E-9-2022-000082_en.docx,https://data.europarl.europa.eu/distribution/reds_iMaQp_Asw/E-9-2022-000082-ASW/E-9-2022-000082-ASW_en.pdf,https://data.europarl.europa.eu/distribution/reds_iMaQp_Asw/E-9-2022-000082-ASW/E-9-2022-000082-ASW_en.docx,,,PE703.842,https://data.europarl.europa.eu/eli/dl/doc/E-9-2022-000082
E-9-2022-000045,State aid for the former Ilva plant in Taranto,State aid for the former Ilva plant in Taranto,Written question,9,2022-01-06,,Rosa D'Amato,,English,https://data.europarl.europa.eu/distribution/reds_iMaQp/E-9-2022-000045/E-9-2022-000045_en.pdf,https://data.europarl.europa.eu/distribution/reds_iMaQp/E-9-2022-000045/E-9-2022-000045_en.docx,https://data.europarl.europa.eu/distribution/reds_iMaQp_Asw/E-9-2022-000045-ASW/E-9-2022-000045-ASW_en.pdf,https://data.europarl.europa.eu/distribution/reds_iMaQp_Asw/E-9-2022-000045-ASW/E-9-2022-000045-ASW_en.docx,,,PE703.805,https://data.europarl.europa.eu/eli/dl/doc/E-9-2022-000045
E-9-2022-000015,Allegations of illegal surveillance by the Swiss tech company Mitto,Allegations of illegal surveillance by the Swiss tech company Mitto,Written question,9,2022-01-03,,Markéta Gregorová,,English,https://data.europarl.europa.eu/distribution/reds_iMaQp/E-9-2022-000015/E-9-2022-000015_en.pdf,https://data.europarl.europa.eu/distribution/reds_iMaQp/E-9-2022-000015/E-9-2022-000015_en.docx,https://data.europarl.europa.eu/distribution/reds_iMaQp_Asw/E-9-2022-000015-ASW/E-9-2022-000015-ASW_en.pdf,https://data.europarl.europa.eu/distribution/reds_iMaQp_Asw/E-9-2022-000015-ASW/E-9-2022-000015-ASW_en.docx,,,PE703.775,https://data.europarl.europa.eu/eli/dl/doc/E-9-2022-000015
E-9-2022-000078,Collection of waste electrical and electronic equipment (WEEE),Collection of waste electrical and electronic equipment (WEEE),Written question,9,2022-01-08,,Eugen Tomac,,English,https://data.europarl.europa.eu/distribution/reds_iMaQp/E-9-2022-000078/E-9-2022-000078_en.pdf,https://data.europarl.europa.eu/distribution/reds_iMaQp/E-9-2022-000078/E-9-2022-000078_en.docx,https://data.europarl.europa.eu/distribution/reds_iMaQp_Asw/E-9-2022-000078-ASW/E-9-2022-000078-ASW_en.pdf,https://data.europarl.europa.eu/distribution/reds_iMaQp_Asw/E-9-2022-000078-ASW/E-9-2022-000078-ASW_en.docx,,,PE703.838,https://data.europarl.europa.eu/eli/dl/doc/E-9-2022-000078
E-9-2022-000067,Disability and unemployment,Disability and unemployment,Written question,9,2022-01-07,,Paolo Borchia; Alessandro Panza; Marco Campomenosi; Isabella Tovaglieri; Silvia Sardone; Antonio Maria Rinaldi; Susanna Ceccardi; Rosanna Conte; Elena Lizzi,,English,https://data.europarl.europa.eu/distribution/reds_iMaQp/E-9-2022-000067/E-9-2022-000067_en.pdf,https://data.europarl.europa.eu/distribution/reds_iMaQp/E-9-2022-000067/E-9-2022-000067_en.docx,https://data.europarl.europa.eu/distribution/reds_iMaQp_Asw/E-9-2022-000067-ASW/E-9-2022-000067-ASW_en.pdf,https://data.europarl.europa.eu/distribution/reds_iMaQp_Asw/E-9-2022-000067-ASW/E-9-2022-000067-ASW_en.docx,,,PE703.827,https://data.europarl.europa.eu/eli/dl/doc/E-9-2022-000067
E-9-2022-000018,Daphne Caruana Galizia and EU funds for Electrogas,Daphne Caruana Galizia and EU funds for Electrogas,Written question,9,2022-01-04,,Herbert Dorfmann; Salvatore De Meo; Antonio Tajani; Luisa Regimenti; Aldo Patriciello; Andrea Caroppo; Fulvio Martusciello; Isabella Adinolfi; Massimiliano Salini; Lucia Vuolo,,English,https://data.europarl.europa.eu/distribution/reds_iMaQp/E-9-2022-000018/E-9-2022-000018_en.pdf,https://data.europarl.europa.eu/distribution/reds_iMaQp/E-9-2022-000018/E-9-2022-000018_en.docx,https://data.europarl.europa.eu/distribution/reds_iMaQp_Asw/E-9-2022-000018-ASW/E-9-2022-000018-ASW_en.pdf,https://data.europarl.europa.eu/distribution/reds_iMaQp_Asw/E-9-2022-000018-ASW/E-9-2022-000018-ASW_en.docx,,,PE703.778,https://data.europarl.europa.eu/eli/dl/doc/E-9-2022-000018
E-9-2022-000027,Abolition of minimum entrance requirement,Abolition of minimum entrance requirement,Written question,9,2022-01-05,,Lefteris Nikolaou-Alavanos,,English,https://data.europarl.europa.eu/distribution/reds_iMaQp/E-9-2022-000027/E-9-2022-000027_en.pdf,https://data.europarl.europa.eu/distribution/reds_iMaQp/E-9-2022-000027/E-9-2022-000027_en.docx,https://data.europarl.europa.eu/distribution/reds_iMaQp_Asw/E-9-2022-000027-ASW/E-9-2022-000027-ASW_en.pdf,https://data.europarl.europa.eu/distribution/reds_iMaQp_Asw/E-9-2022-000027-ASW/E-9-2022-000027-ASW_en.docx,,,PE703.787,https://data.europarl.europa.eu/eli/dl/doc/E-9-2022-000027
E-9-2022-000104,Octopus aquaculture and animal welfare,Octopus aquaculture and animal welfare,Written question,9,2022-01-10,,Izaskun Bilbao Barandica,,English,https://data.europarl.europa.eu/distribution/reds_iMaQp/E-9-2022-000104/E-9-2022-000104_en.pdf,https://data.europarl.europa.eu/distribution/reds_iMaQp/E-9-2022-000104/E-9-2022-000104_en.docx,https://data.europarl.europa.eu/distribution/reds_iMaQp_Asw/E-9-2022-000104-ASW/E-9-2022-000104-ASW_en.pdf,https://data.europarl.europa.eu/distribution/reds_iMaQp_Asw/E-9-2022-000104-ASW/E-9-2022-000104-ASW_en.docx,,,PE703.864,https://data.europarl.europa.eu/eli/dl/doc/E-9-2022-000104
E-9-2022-000004,Economic damage inflicted by the EU’s embargo on Russia,Economic damage inflicted by the EU’s embargo on Russia,Written question,9,2022-01-03,,Markus Buchheit,,English,https://data.europarl.europa.eu/distribution/reds_iMaQp/E-9-2022-000004/E-9-2022-000004_en.pdf,https://data.europarl.europa.eu/distribution/reds_iMaQp/E-9-2022-000004/E-9-2022-000004_en.docx,https://data.europarl.europa.eu/distribution/reds_iMaQp_Asw/E-9-2022-000004-ASW/E-9-2022-000004-ASW_en.pdf,https://data.europarl.europa.eu/distribution/reds_iMaQp_Asw/E-9-2022-000004-ASW/E-9-2022-000004-ASW_en.docx,,,PE700.950,https://data.europarl.europa.eu/eli/dl/doc/E-9-2022-000004
E-9-2022-000039,Lack of effective pandemic protection measures leading to inevitable tragedy ,Lack of effective pandemic protection measures leading to inevitable tragedy ,Written question,9,2022-01-05,,Kostas Papadakis,,English,https://data.europarl.europa.eu/distribution/reds_iMaQp/E-9-2022-000039/E-9-2022-000039_en.pdf,https://data.europarl.europa.eu/distribution/reds_iMaQp/E-9-2022-000039/E-9-2022-000039_en.docx,https://data.europarl.europa.eu/distribution/reds_iMaQp_Asw/E-9-2022-000039-ASW/E-9-2022-000039-ASW_en.pdf,https://data.europarl.europa.eu/distribution/reds_iMaQp_Asw/E-9-2022-000039-ASW/E-9-2022-000039-ASW_en.docx,,,PE703.799,https://data.europarl.europa.eu/eli/dl/doc/E-9-2022-000039
E-9-2022-000003,Noise polution,Noise polution,Written question,9,2022-01-03,,Biljana Borzan,,English,https://data.europarl.europa.eu/distribution/reds_iMaQp/E-9-2022-000003/E-9-2022-000003_en.pdf,https://data.europarl.europa.eu/distribution/reds_iMaQp/E-9-2022-000003/E-9-2022-000003_en.docx,https://data.europarl.europa.eu/distribution/reds_iMaQp_Asw/E-9-2022-000003-ASW/E-9-2022-000003-ASW_en.pdf,https://data.europarl.europa.eu/distribution/reds_iMaQp_Asw/E-9-2022-000003-ASW/E-9-2022-000003-ASW_en.docx,,,PE700.949,https://data.europarl.europa.eu/eli/dl/doc/E-9-2022-000003
E-9-2022-000105,Price differences for antigen tests in the EU and their sale in shops,Price differences for antigen tests in the EU and their sale in shops,Written question,9,2022-01-10,,Jordi Cañas,,English,https://data.europarl.europa.eu/distribution/reds_iMaQp/E-9-2022-000105/E-9-2022-000105_en.pdf,https://data.europarl.europa.eu/distribution/reds_iMaQp/E-9-2022-000105/E-9-2022-000105_en.docx,https://data.europarl.europa.eu/distribution/reds_iMaQp_Asw/E-9-2022-000105-ASW/E-9-2022-000105-ASW_en.pdf,https://data.europarl.europa.eu/distribution/reds_iMaQp_Asw/E-9-2022-000105-ASW/E-9-2022-000105-ASW_en.docx,,,PE703.865,https://data.europarl.europa.eu/eli/dl/doc/E-9-2022-000105
E-9-2022-000041,Austria’s decision to suspend the COVID-19 Green Certificate for citizens vaccinated with Johnson & Johnson,Austria’s decision to suspend the COVID-19 Green Certificate for citizens vaccinated with Johnson & Johnson,Written question,9,2022-01-05,,Maria Grapini,,English,https://data.europarl.europa.eu/distribution/reds_iMaQp/E-9-2022-000041/E-9-2022-000041_en.pdf,https://data.europarl.europa.eu/distribution/reds_iMaQp/E-9-2022-000041/E-9-2022-000041_en.docx,https://data.europarl.europa.eu/distribution/reds_iMaQp_Asw/E-9-2022-000041-ASW/E-9-2022-000041-ASW_en.pdf,https://data.europarl.europa.eu/distribution/reds_iMaQp_Asw/E-9-2022-000041-ASW/E-9-2022-000041-ASW_en.docx,,,PE703.801,https://data.europarl.europa.eu/eli/dl/doc/E-9-2022-000041
