party,left_right,eu_anti_pro,state_market,liberty_authority
ECR,8.000838,4.502722,5.0171280000000005,8.092788
EPP,6.759239285714286,7.771323529411766,6.757982857142857,6.573875
GUE/NGL,1.77458,3.6981466666666667,1.7486666666666666,2.553726666666667
ID,9.118461363636364,1.4002295454545453,6.538981818181818,8.810006818181819
NI,6.4809875,4.966975,4.5761125,7.18554375
RENEW,6.049944230769231,8.136278846153846,6.588905769230769,4.285817307692308
S&D,3.525087387387387,8.416699047619048,3.7607747747747746,3.708336936936937
VERTS/ALE,2.952748,6.662688,3.312694,1.68417
